setup,dtd,eurosat,fgvca,flowers,food101,pets,sun397,cars,caltech101,cifar100,cub,ucf101
inductive,42.8,31.9,17.4,69.3,77.9,80.3,61.8,56.4,86.9,46.0,49.7,62.8
sparse-inductive,43.1,38.8,17.9,68.8,78.3,77.7,61.1,55.8,86.3,48.0,51.1,64.2
transductive,41.9,35.5,17.8,65.9,78.8,83.9,63.3,57.8,89.6,47.9,52.1,65.9
